rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0076.jpg,30.4,0.8439,0.9198,0.6667,0.92,9,4,False,True
2,frame_0002.jpg,0.8,0.8101,0.7202,0.8333,1.0,8,5,False,True
3,frame_0181.jpg,72.4,0.7399,0.8637,1.0,0.04,7,6,False,True
4,frame_0300.jpg,120.0,0.7334,0.7749,0.8333,0.48,8,5,False,True
5,frame_0017.jpg,6.8,0.7225,0.6449,0.6667,1.0,6,4,False,True
6,frame_0299.jpg,119.6,0.7215,0.7351,0.8333,0.52,9,5,False,False
7,frame_0022.jpg,8.8,0.7169,0.5339,0.8333,1.0,5,5,False,True
8,frame_0080.jpg,32.0,0.7145,0.625,0.8333,0.76,8,5,False,False
9,frame_0001.jpg,0.4,0.7105,0.6209,0.6667,1.0,9,4,False,False
10,frame_0003.jpg,1.2,0.7019,0.7037,0.5,1.0,7,3,False,False
11,frame_0018.jpg,7.2,0.6885,0.6771,0.5,1.0,8,3,False,False
12,frame_0032.jpg,12.8,0.6874,0.5747,0.6667,1.0,7,4,False,True
13,frame_0383.jpg,153.2,0.6787,0.8094,0.8333,0.12,8,5,False,True
14,frame_0388.jpg,155.2,0.6782,0.7925,0.8333,0.16,13,5,False,True
15,frame_0329.jpg,131.6,0.6779,0.7237,1.0,0.08,12,6,False,True
16,frame_0391.jpg,156.4,0.6643,0.8126,0.8333,0.04,13,5,False,False
17,frame_0132.jpg,52.8,0.6515,0.703,0.3333,1.0,8,2,False,True
18,frame_0016.jpg,6.4,0.6427,0.6854,0.3333,1.0,8,2,False,False
19,frame_0170.jpg,68.0,0.6397,0.6874,0.6667,0.48,8,4,False,True
20,frame_0030.jpg,12.0,0.6394,0.5787,0.5,1.0,8,3,False,False
21,frame_0375.jpg,150.0,0.6353,0.7905,0.6667,0.2,11,4,False,False
22,frame_0316.jpg,126.4,0.6334,0.8027,0.6667,0.16,8,4,False,False
23,frame_0167.jpg,66.8,0.6308,0.6216,0.6667,0.6,6,4,False,False
24,frame_0000.jpg,0.0,0.625,0.65,0.3333,1.0,8,2,False,False
25,frame_0168.jpg,67.2,0.625,0.726,0.5,0.56,7,3,False,False
26,frame_0004.jpg,1.6,0.6242,0.6484,0.3333,1.0,5,2,False,False
27,frame_0291.jpg,116.4,0.6239,0.6117,0.5,0.84,9,3,False,False
28,frame_0374.jpg,149.6,0.6228,0.7656,0.6667,0.2,10,4,False,False
29,frame_0090.jpg,36.0,0.6202,0.5964,0.8333,0.36,7,5,False,False
30,frame_0307.jpg,122.8,0.6147,0.8494,0.5,0.2,9,3,False,False
31,frame_0321.jpg,128.4,0.6117,0.6435,0.8333,0.2,9,5,False,False
32,frame_0288.jpg,115.2,0.6093,0.6306,0.5,0.72,10,3,False,False
33,frame_0084.jpg,33.6,0.6067,0.8733,0.1667,0.6,3,1,False,False
34,frame_0009.jpg,3.6,0.6061,0.7122,0.1667,1.0,3,1,False,False
35,frame_0021.jpg,8.4,0.6043,0.6087,0.3333,1.0,6,2,False,False
36,frame_0026.jpg,10.4,0.6042,0.5084,0.5,1.0,6,3,False,False
37,frame_0011.jpg,4.4,0.6028,0.8055,0.0,1.0,3,0,False,False
38,frame_0075.jpg,30.0,0.6024,0.6209,0.3333,0.96,9,2,False,False
39,frame_0333.jpg,133.2,0.6005,0.869,0.5,0.08,8,3,False,False
40,frame_0086.jpg,34.4,0.6003,0.6926,0.5,0.52,6,3,False,False
41,frame_0067.jpg,26.8,0.5981,0.4963,0.5,1.0,7,3,False,False
42,frame_0292.jpg,116.8,0.5977,0.6754,0.3333,0.8,9,2,False,False
43,frame_0124.jpg,49.6,0.5942,0.7164,0.3333,0.68,7,2,False,False
44,frame_0372.jpg,148.8,0.5938,0.7396,0.6667,0.12,11,4,False,False
45,frame_0029.jpg,11.6,0.5927,0.6854,0.1667,1.0,5,1,False,False
46,frame_0031.jpg,12.4,0.5926,0.5853,0.3333,1.0,10,2,False,False
47,frame_0294.jpg,117.6,0.5896,0.6913,0.3333,0.72,5,2,False,False
48,frame_0014.jpg,5.6,0.5894,0.5788,0.3333,1.0,5,2,False,False
49,frame_0319.jpg,127.6,0.5866,0.6611,0.6667,0.28,9,4,False,False
50,frame_0169.jpg,67.6,0.5857,0.6635,0.5,0.52,7,3,False,False
51,frame_0188.jpg,75.2,0.5853,0.7546,0.6667,0.04,10,4,False,False
52,frame_0378.jpg,151.2,0.5851,0.7381,0.6667,0.08,11,4,False,False
53,frame_0186.jpg,74.4,0.5777,0.7394,0.6667,0.04,10,4,False,False
54,frame_0200.jpg,80.0,0.5746,0.8411,0.1667,0.52,2,1,False,False
55,frame_0079.jpg,31.6,0.5726,0.5253,0.5,0.8,7,3,False,False
56,frame_0171.jpg,68.4,0.5715,0.667,0.5,0.44,7,3,False,False
57,frame_0089.jpg,35.6,0.5694,0.6788,0.5,0.4,7,3,False,False
58,frame_0127.jpg,50.8,0.5683,0.7166,0.1667,0.8,8,1,False,False
59,frame_0082.jpg,32.8,0.5677,0.5634,0.5,0.68,6,3,False,False
60,frame_0232.jpg,92.8,0.5662,0.7524,0.5,0.2,9,3,False,False
61,frame_0115.jpg,46.0,0.5654,0.7028,0.5,0.32,8,3,False,False
62,frame_0074.jpg,29.6,0.5617,0.6234,0.1667,1.0,7,1,False,False
63,frame_0379.jpg,151.6,0.5599,0.7037,0.6667,0.04,11,4,False,False
64,frame_0223.jpg,89.2,0.559,0.754,0.5,0.16,8,3,False,False
65,frame_0373.jpg,149.2,0.559,0.554,0.8333,0.16,11,5,False,False
66,frame_0130.jpg,52.0,0.5589,0.6497,0.1667,0.92,4,1,False,False
67,frame_0230.jpg,92.0,0.5575,0.6669,0.6667,0.12,13,4,False,False
68,frame_0096.jpg,38.4,0.5539,0.6598,0.6667,0.12,8,4,False,False
69,frame_0033.jpg,13.2,0.5531,0.5063,0.3333,1.0,8,2,False,False
70,frame_0371.jpg,148.4,0.5502,0.6684,0.6667,0.08,10,4,False,False
71,frame_0328.jpg,131.2,0.5494,0.7669,0.5,0.08,14,3,False,False
72,frame_0231.jpg,92.4,0.5493,0.7346,0.5,0.16,9,3,False,False
73,frame_0077.jpg,30.8,0.5382,0.6243,0.1667,0.88,7,1,False,False
74,frame_0133.jpg,53.2,0.5377,0.5754,0.1667,1.0,9,1,False,False
75,frame_0013.jpg,5.2,0.5369,0.4738,0.3333,1.0,4,2,False,False
76,frame_0069.jpg,27.6,0.5361,0.5722,0.1667,1.0,6,1,False,False
77,frame_0277.jpg,110.8,0.5347,0.7574,0.3333,0.28,8,2,False,False
78,frame_0129.jpg,51.6,0.5339,0.5159,0.3333,0.88,6,2,False,False
79,frame_0193.jpg,77.2,0.5332,0.5703,0.6667,0.24,8,4,False,False
80,frame_0005.jpg,2.0,0.5326,0.5651,0.1667,1.0,6,1,False,False
